Номер подзаписи;№ бюллетеня;Вопрос;Голос;ФИО члена НК;Номер пункта/подпункта;Тип вопроса;Неголосующий;Дата
1;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Шафраник Юрий Константинович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
2;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Шмаль Генадий Иосифович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
3;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Иванов Виктор Петрович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
4;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Яруллин Рафинат Саматович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
5;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Максимов Антон Львович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
6;1;Яяяяяяяяя - Медаль 300 лет российской нефти;НГ;Кантюков Рафкат Абдулхаевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
7;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Забозлаев Алексей Геннадьевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
8;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Бакиев Эдуард Мунирович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
9;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Мамин Виктор Викторович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
10;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Шамин Андрей Юрьевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
11;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Слепнёв Николай Сергеевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
12;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Федоров Юрий Викторович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
13;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Богуславский Ирек Борисович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
14;1;Яяяяяяяяя - Медаль 300 лет российской нефти;НГ;Метшин Айдар Раисович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
15;1;Яяяяяяяяя - Медаль 300 лет российской нефти;НГ;Сорокин Павел Юрьевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
16;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Иванов Михаил Игоревич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
17;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Дмитриевский Анатолий Николаевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
18;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Сигов Александр Сергеевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
19;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Крюков Валерий Анатольевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
20;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Курочкин Дмитрий Николаевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
21;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Агеев Шамиль Рахимович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
22;1;Яяяяяяяяя - Медаль 300 лет российской нефти;-;Корчагин Александр Викторович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;
23;1;Яяяяяяяяя - Медаль 300 лет российской нефти;НГ;Ковальчук Владимир Николаевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;
18;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Сигов Александр Сергеевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-01 00:00:00
19;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Крюков Валерий Анатольевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-02 00:00:00
20;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Курочкин Дмитрий Николаевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-03 00:00:00
21;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Агеев Шамиль Рахимович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-04 00:00:00
22;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Корчагин Александр Викторович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-05 00:00:00
23;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;НГ;Ковальчук Владимир Николаевич;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;True;2024-05-06 00:00:00
24;1;Яванов Яван Яванович - Медаль Непорожнего П.С.;-;Важенин Юрий Иванович;0.0;НАГРАЖДЕНИЕ ЛАУРЕАТОВ;False;2024-05-07 00:00:00
