Название медали;ПРОИЗВ_медаль_опред контр_статус;ПРОИЗВ_медаль_опред контр_дата;ПРОИЗВ_медаль_опред контр_вложение;ПРОИЗВ_медаль_доработка макета_статус;ПРОИЗВ_медаль_доработка макета_дата;ПРОИЗВ_медаль_доработка макета_вложение;ПРОИЗВ_медаль_согласование макета_статус;ПРОИЗВ_медаль_согласование макета_дата;ПРОИЗВ_медаль_согласование макета_вложение;ПРОИЗВ_медаль_заказ_статус;ПРОИЗВ_медаль_заказ_дата;ПРОИЗВ_медаль_заказ_вложение;ПРОИЗВ_медаль_оплата_статус;ПРОИЗВ_медаль_оплата_дата;ПРОИЗВ_медаль_оплата_вложение;ПРОИЗВ_медаль_сигнальный образец_статус;ПРОИЗВ_медаль_сигнальный образец_дата;ПРОИЗВ_медаль_сигнальный образец_вложение;ПРОИЗВ_медаль_доработка дизайна_статус;ПРОИЗВ_медаль_доработка дизайна_дата;ПРОИЗВ_медаль_доработка дизайна_вложение;ПРОИЗВ_медаль_дизайн для производства_статус;ПРОИЗВ_медаль_дизайн для производства_дата;ПРОИЗВ_медаль_дизайн для производства_вложение;ПРОИЗВ_медаль_производство_статус;ПРОИЗВ_медаль_производство_дата;ПРОИЗВ_медаль_производство_вложение;ПРОИЗВ_медаль_поставка_статус;ПРОИЗВ_медаль_поставка_дата;ПРОИЗВ_медаль_поставка_вложение;ПРОИЗВ_медаль_чек;ПРОИЗВ_закрытие
Медаль 300 лет российской нефти;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Грайфера В.И. - I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Грайфера В.И. - II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Грайфера В.И. - III;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль за освоение недр Западной Сибири;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Лемаева Н.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Михельсона В.З.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Непорожнего П.С.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Оруджева С.А.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Трофимука А.А.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Хаджиева С.Н.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
За мужество при выполнении боевых задач в условиях СВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
За проявленное мужество при выполнении боевых задач в период СВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Z за мужество при выполнении задач в период СВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль за мужество при выполнении задач в период СВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
За мужество при выполнении задач в период СВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Медаль Голубкова С.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
Голубкова С.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;False
