Название награды;Организация;Согласование;Дата;Место документа;Цифра;Медаль;ППЗ
Медаль Грайфера В.И. - I;;False;;;0;True;False
Медаль Грайфера В.И. - II;;False;;;0;True;False
Медаль Грайфера В.И. - III;;False;;;0;True;False
Медаль Лемаева Н.В.;;False;;;0;True;False
Медаль Михельсона В.З.;;False;;;0;True;False
Медаль Непорожнего П.С.;;False;;;0;True;False
Медаль Оруджева С.А.;;False;;;0;True;False
Медаль Хаджиева С.Н.;;False;;;0;True;False
Медаль Трофимука А.А.;;False;;;0;True;False
ППЗ Михельсона В.З.;;False;;;0;False;True
ППЗ Оруджева С.А.;;False;;;0;False;True
ППЗ за освоение недр Западной Сибири;;False;;;0;True;False
ППЗ Грайфера В.И.;;False;;;0;False;True
ППЗ для тестов ФУ;;False;;;0;False;True
ППЗ для тестов ФУ;;False;;;0;False;True
ППЗ для тестов ФУ;;False;;;0;False;True
ППЗ для тестов ФУ;;False;;;0;False;True
Маганова Р.У.;;False;;;0;False;True
Маганова Р.У.;;False;;;0;False;True
ППЗ Конторовича А.Э.;;False;;;0;False;True
За мужество при выполнении боевых задач в условиях СВО;;False;;;0;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;0;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;0;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;0;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;0;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;0;True;False
За мужество при выполнении боевых задач в условиях СВО;;False;;;0;True;False
За проявленное мужество при выполнении боевых задач в период СВО;;False;;;0;True;False
За проявленное мужество при выполнении боевых задач в период СВО;;False;;;0;True;False
Медаль Z за мужество при выполнении задач в период СВО;;False;;;0;True;False
Медаль за мужество при выполнении задач в период СВО;;False;;;0;True;False
За мужество при выполнении задач в период СВО;;False;;;0;True;False
За мужество при выполнении задач в период СВО;;False;;;0;True;False
Медаль Голубкова С.В.;;False;;;0;True;False
Голубкова С.В.;;False;;;0;True;False
