ФИО;Награда
Бакиев Эдуард Мунирович;ППЗ за освоение недр Западной Сибири
Дмитриевский Анатолий Николаевич;Медаль 300 лет российской нефти
Забозлаев Алексей Геннадьевич;ППЗ за освоение недр Западной Сибири
Иванов Виктор Петрович;Медаль Лемаева Н.В.
Иванов Виктор Петрович;Медаль Хаджиева С.Н.
Ковальчук Владимир Николаевич;ППЗ Оруджева С.А.
Максимов Антон Львович;Медаль Хаджиева С.Н.
Нургалиев Данис Карлович;Медаль 300 лет российской нефти
Посягин Борис Сергеевич;Медаль Оруджева С.А.
Посягин Борис Сергеевич;Медаль Хаджиева С.Н.
Посягин Борис Сергеевич;ППЗ Оруджева С.А.
Сигов Александр Сергеевич;Медаль Грайфера В.И. - I
Сигов Александр Сергеевич;Медаль Грайфера В.И. - II
Сигов Александр Сергеевич;Медаль Грайфера В.И. - III
Сидоров Александр Леонидович;Медаль 300 лет российской нефти
Сидоров Александр Леонидович;ППЗ за освоение недр Западной Сибири
Шафраник Юрий Константинович;Медаль Грайфера В.И. - I
Шафраник Юрий Константинович;Медаль Грайфера В.И. - II
Шафраник Юрий Константинович;Медаль Грайфера В.И. - III
Шафраник Юрий Константинович;Медаль Михельсона В.З.
Шафраник Юрий Константинович;ППЗ Грайфера В.И.
Шафраник Юрий Константинович;ППЗ за освоение недр Западной Сибири
Шафраник Юрий Константинович;ППЗ Михельсона В.З.
Шмаль Генадий Иосифович;Медаль 300 лет российской нефти
Шмаль Генадий Иосифович;Медаль Грайфера В.И. - I
Шмаль Генадий Иосифович;Медаль Грайфера В.И. - II
Шмаль Генадий Иосифович;Медаль Грайфера В.И. - III
Шмаль Генадий Иосифович;Медаль Оруджева С.А.
Шмаль Генадий Иосифович;ППЗ Грайфера В.И.
Шмаль Генадий Иосифович;ППЗ за освоение недр Западной Сибири
Шмаль Генадий Иосифович;ППЗ Михельсона В.З.
Шмаль Генадий Иосифович;ППЗ Оруджева С.А.
Яруллин Рафинат Саматович;Медаль Лемаева Н.В.
Шмаль Генадий Иосифович;Медаль Михельсона В.З.
